protein1	protein2
PRKAR1A	BAHD1
RPS6KA5	DDAH2
RPS6KA5	ERH
RPS6KA5	ACTG1
RPS6KA5	ROBO2
RPS6KA5	PDLIM1
RPS6KA5	RAI1
RPS6KA5	RNF19A
RPS6KA5	CRMP1
RPS6KA5	DNAJC11
RPS6KA5	ITSN1
MAPK11	C9orf78
MAPK11	CPNE6
MAP3K14	EEF1A1
MAP3K7	BBS10
MAP3K7	EZH2
PDPK1	FAM213B
PDPK1	GIT1
PDPK1	C2orf44
PDPK1	KATNBL1
PDPK1	BLMH
PDPK1	LUC7L2
TK1	MRFAP1
TK1	ADD1
TK1	KIF5A
TK1	HMGXB3
TK1	RXRA
TK1	CSAD
TK1	PSME1
TK1	ABHD4
TK1	HADHB
TK1	MAST2
TK1	PLXNA3
TK1	SNX1
TK1	ITSN1
TK1	DEAF1
TK1	SMC5
TK1	KLHL23
TK1	CDK4
TK1	GPCPD1
TK1	SUMO3
TK1	DDAH2
TK1	ADAMTS10
TK1	HSPBAP1
TK1	ALAS1
TK1	C19orf60
TK1	ACTB
TK1	ACTR1B
TK1	DALRD3
TK1	TAF1C
TK1	A2M
TK1	SP110
TK1	MED31
TK1	CENPB
TK1	DYNC1I1
TK1	FBN3
TK1	IGHM
TK1	RPL13
TK1	INPP5K
TK1	ATG16L2
TK1	KLHL5
TK1	FAM20C
TK1	MPPED1
TK1	AAMP
TK1	NEUROD2
TK1	CPSF3L
TK1	IER3IP1
TK1	ACTL6B
TK1	EIF4A2
TK1	JMJD1C
TK1	PPP4C
TK1	AGAP1
TK1	PAAF1
TK1	SULT1A3
TK1	NMT2
TK1	QARS
TK1	RBBP4
TK1	CLEC3B
TK1	NRBP1
TK1	DMPK
TK1	ATXN3
TK1	IMMT
TK1	COL4A2
TK1	ATP6V1A
TK1	CPNE6
TK1	EXT2
TK1	SDF4
TK1	TIAM2
TK1	DACT1
TK1	SEMA5B
TK1	BAG6
TK1	SEPT6
TK1	F13A1
TK1	EIF3G
TK1	JADE1
TK1	FST
TK1	THOC3
TK1	DCAF13
TK1	A1BG
TK1	COL4A5
TK1	ATP5B
TK1	CCDC115
TK1	GDI1
TK1	EIF6
TK1	DUS2
TK1	NKIRAS2
TK1	CHGB
TK1	PDE4DIP
TK1	TK1
TK1	TCTEX1D2
TK1	COL11A2
TK1	MPP1
TK1	CRIP2
TK1	ARFGAP1
TK1	PLD3
TK1	DOCK7
TK1	PTPN4
TK1	KMT2B
TK1	ASNA1
TK1	GLB1
TK1	FGB
TK1	FAF1
PTK2	HES1
PTK2	NASP
PTK2	FBP1
PTK2	F13A1
PTK2	BBS10
PTK2	NACAD
PTK2	EEF1G
PTK2	DDX39A
MAPK6	HACL1
MAPK6	BBS10
MAPK6	ATP5J
MAPK6	ELOF1
MAPK6	DBN1
MAPK6	FBXL16
MAPK6	ATG9A
MAPK6	ARPC3
MAPK6	C21orf59
MAPK6	COPS6
MAPK6	CYTH2
MAPK6	APBA2
MAPK6	ANAPC5
MAPK6	ACTR1B
MAPK6	GORASP1
MAPK6	FXYD3
MAPK6	CA12
MAPK6	HAUS2
MAPK6	CALR
MAPK6	EMD
MAPK6	BARX1
MAPK6	HIP1
MAPK6	ITGB3BP
MAPK6	PVRL2
MAPK6	DPPA4
MAPK6	HDAC11
MAPK6	GLRX3
