protein1	protein2
CARTPT	CDKN2C
TMEM9	JAK1
CD1E	POMK
TMEM9	EPHA4
GYPA	CAMK1
DNAJB3	CHEK1
SLC25A21	BLVRA
CALM1	MYO3A
BTNL9	CDK11A
PTPN22	PRKAR2B
YWHAB	NEK1
NRSN1	BMPR2
NAA11	PI4K2B
C15orf53	BLK
DEFB136	CASK
TSPAN31	POMK
CTXN1	PKMYT1
KCNE3	PIK3R1
KCNE3	PIK3CA
KCNE3	PIK3CB
EFNA5	EPHA6
GBX1	PKMYT1
MCOLN2	SRC
RPS19	BAZ1B
MAGEA8	ADCK4
RNF7	CSNK1E
EDAR	JAK1
MAS1	PRKDC
MALL	EPHB1
NPTN	MTOR
SLIRP	PKN1
RPLP0	SRPK2
CEP57	PRKAR2B
PAGR1	TP53RK
NPTN	DSTYK
SRSF5	PRPF4B
HSPA1A	WNK1
SERF2	GTF2F1
ASIC5	BLVRA
MIP	SRC
CHRM4	PRKDC
IGHM	ADCK1
SLC39A7	MAP2K7
PARP8	GSK3A
CCT8L2	CHUK
GAGE1	PRKG1
BAG2	PTK2
NPTN	AK4
MLNR	ADCK1
GOT1	NAGK
ARIH1	CSNK1G3
CCNO	CDK5
CCNO	CDK7
BAG2	GTF2F1
RPS6	CDK12
TMEM9	FASTKD3
MAD2L1	GTF2F1
MALL	EPHA7
GPRASP2	KSR2
POP7	TP53RK
BBX	BLK
NSDHL	AK4
GPR182	ADCK1
AKR7L	GTF2F1
KBTBD7	ADRBK1
PYCRL	PDK2
PYCRL	PDK1
LGI1	STK39
DHFRL1	STK39
ADAMTS13	PASK
MCEMP1	GUK1
TCEA1	DSTYK
C3orf52	VRK2
SEMA4C	MTOR
CTXN1	ACVR2A
CERS2	ROCK1
CCL16	MKNK1
NIPSNAP3B	PDK1
RPL4	CDK13
HSPA1A	PI4KB
IGHM	PDK1
ARL5A	PHKA2
CDKN1B	CDK17
C7orf34	MELK
RFESD	PRKAA1
RFESD	PRKAB1
S100A2	CDK17
CERS6	PKN1
CLSTN1	GSG2
FBXO2	FLT1
PRAMEF9	MAPK9
AVPR1B	PIK3CB
GJB7	LYN
USP25	BLK
FAM163B	CAMK2G
FILIP1	NEK7
OR1M1	PKMYT1
RPL35A	OXSR1
LGI1	CAMK4
KCNA4	CASK
TACSTD2	TYK2
ADARB1	SRPK1
ADARB1	SRPK2
NPTN	TTK
TMEM30A	ADPGK
LPIN2	PRKD1
CABP2	PBK
SLCO4C1	PDK1
P2RY10	FASTKD3
CGA	EIF2AK3
SLC31A1	ACVR2B
SLC31A1	ACVR2A
MAP2	PRKACG
SYT2	MAP4K4
RNF149	BMPR1A
P4HA1	MAP2K1
TFDP3	PRKACG
C1QA	INSR
IL3RA	FGFR1
MARCH1	FGFR4
PIP	ITPKC
BEX1	TNIK
BACE2	PIK3C2A
YWHAH	CDC42BPG
LMO3	TRIO
EFNB1	EPHB3
HNRNPCL1	CLK3
PFDN1	ROCK2
FMO2	STK38L
CALM1	PEAK1
IL2RA	FASTKD1
C3orf18	IP6K1
MAGEA8	GK
MECOM	TTN
ITFG3	TBRG4
NUBP2	EPHA4
HDGFRP2	CDC7
FAM174A	STK17B
BCAP31	TLK2
C8B	PAPSS2
C4orf26	PASK
EDAR	BMPR1A
YBEY	PDK3
CELA3B	NME2
MFAP5	PASK
SPANXN4	MAPK1
SPANXN4	MAPK3
PHF8	CDK1
BTBD2	SCYL1
SPCS3	TNIK
OSTM1	STK39
POLR3K	PRKAB1
POLR3K	PRKAB2
POLR3K	PRKAA1
GPR182	ADCK4
TMEM74	NEK4
CEBPG	SRC
GOT1	BLVRA
PATE1	INSR
PLCD3	TNIK
GYPA	MAP2K7
FAM24B	NME2
ABCF3	RIOK2
SEPT14	LIMK1
PIP	MASTL
RNF7	STK39
ZDHHC12	PKMYT1
OASL	PIK3C2A
IFT20	DAK
YWHAG	PANK2
ANKS3	CSNK2A2
CAPN2	PIK3C2A
YWHAQ	PLK4
RBMS2	CLK2
C3orf52	ACVR2B
PBXIP1	CDK19
BTNL9	TAOK2
SLA2	BCR
FAM114A2	CAMKV
APBA1	GSK3B
GPRC5D	DGKE
BSCL2	TAOK2
HSPA1A	OXSR1
NANOS1	PAK1
IGHM	STK3
STX17	NAGK
CD6	TAOK2
POM121	CAMK2B
POM121	CAMK2D
ST14	EPHB4
HCST	ATM
YWHAB	SPEG
YWHAG	ULK1
CRLF2	BMPR1A
FBXO2	EPHA5
HLA-DQA1	ERN1
TMEM9	ATR
C3orf62	BLK
BSPRY	CDK6
DPAGT1	ADPGK
HOXC5	VRK1
RPL18A	PRPF4B
MTFP1	CDKN2D
HNRNPCL2	KSR1
PTH2R	PKN3
TGM5	RIPK1
KCNA4	CSNK1E
PBXIP1	ATR
DRD4	PRKDC
TOX2	PRKAR2B
CX3CL1	ERBB2
GPR182	ATM
CPSF6	TP53RK
CRLF2	FGFR4
DNAJA2	PI4K2B
PCDHGB1	PDK1
KRT38	PKN3
PPM1J	CDKN2C
FTL	CDK20
PIK3IP1	EPHA7
RARRES2	CDKN2D
ANKRD49	MVK
CXCR4	FASTKD1
HSPA1A	ABL2
CDX1	BLK
TTYH1	DGKE
DUSP16	SIK2
CD80	PDK1
H2AFB3	CSNK2A2
FAXC	CSNK1G3
SMOC1	PAPSS1
TSPAN10	CSNK1G3
SLURP1	DSTYK
CARTPT	GSK3B
ZC3H11A	CLK2
FAXC	PDPK1
CENPM	SRC
YWHAH	MAST3
ZMYM6	BLK
GPR17	MAP3K4
EDAR	ACVR1
HIST1H1B	CDK13
CCT8L2	CDK11B
CDH23	GTF2F1
MAGEA8	FASTKD3
CCDC96	PIK3C2A
ANKRD36B	TTK
SYT2	ROR1
NIPSNAP3B	PDK2
SAP18	SLK
USP54	DYRK1A
RUFY1	GRK6
DGCR2	RPS6KA2
DGCR2	RPS6KA3
C1orf35	RIOK2
GPM6A	CAMK2A
GPM6A	CAMK2B
TMEM9	DSTYK
CXCL6	CSNK1G3
LSMEM1	SRC
LSMEM2	ERN1
S100P	WNK3
FXYD6	ATR
SCAP	DGKE
CD80	PRKDC
SMYD5	DAK
FTL	MAP2K7
IL32	FGFR2
IL32	FGFR1
HIST1H1C	PRPF4B
CMKLR1	JAK1
ATXN7L1	PRKAB1
CEP112	PRPS2
ZBTB34	CHEK1
EZH1	CDK11B
ARSE	MTOR
BRICD5	EPHB4
MPL	EGFR
IL17RA	TAOK2
DYNLL1	PRKACG
YWHAB	CLK3
EFNA4	ATR
TPX2	CDK11B
GPSM3	MARK3
ZNF773	GSG2
SV2A	RNASEL
ILF3	SRPK2
MALL	CDK11B
HMGA2	CSNK2A1
DNAJC12	CDK19
MS4A10	DSTYK
SLC5A6	GK
DUSP16	STK38
EDAR	STK16
LGI1	OXSR1
EMB	STK4
DGCR2	PI4KA
VOPP1	EPHA2
CHRNB2	VRK2
S100A6	STK26
SPSB4	SIK2
RPL4	SRPK2
RPL4	SRPK1
ITFG3	ATM
ACTB	MAP3K4
DYNLL1	PRKAR2B
BANF2	OXSR1
PIPSL	MARK4
FCER1A	ERN1
KPNA1	TRRAP
KCNA4	CSNK1G3
CCT8L2	OXSR1
MGARP	PRKDC
CCT8L2	MAP3K4
OPALIN	FASTKD1
HAVCR2	CDC42BPA
FTL	MYO3A
GPR17	DSTYK
SP7	EPHA2
SPANXN2	CSNK1E
HCST	FUK
KNDC1	DYRK1A
YWHAH	CDC42BPA
AHCYL1	CLK1
ZNF346	BAZ1B
NPTN	ADCK4
MARCH1	MET
DNAJA2	KSR1
CARTPT	PRPS2
CARTPT	PRPS1
YWHAG	RIPK4
CTNND1	BLK
FAXC	TYK2
KCNE3	ACVR2B
KCNE3	ACVR2A
KCNE3	ACVR1B
KCNE3	ACVR1
YWHAQ	MAP3K3
CXCR4	PDK1
MLNR	STK17B
SLC31A1	AURKA
RPL35A	BRD4
PICK1	PRKAR1B
FILIP1	DAPK3
CDK2AP1	SRC
STX17	CMPK1
NPTN	FASTKD5
TMED7	EIF2AK3
GPR64	ATM
SLC9A8	EPHA7
GNA13	EPHA4
FBXL22	BLK
CECR1	TRIO
C2CD4A	PRKCI
GPR182	TTK
ANAPC15	RIOK2
MAGEA3	SRC
FHL2	BMP2K
BLOC1S6	TBK1
HSD17B1	RNASEL
RNF133	BMPR1A
MAP10	PRKAR1B
PAIP2B	CLK3
PAIP2B	CLK2
ZNF554	STK3
AKR1A1	MAP4K5
NPTN	PI4KA
FAM19A2	INSR
KIF24	DYRK1B
GPR182	FASTKD3
PURG	CDK12
SAP18	PHKA2
SAP18	PHKA1
RAB11A	NAGK
HNRNPCL2	MELK
GPR182	ADCK2
FGFBP1	SRPK1
CLEC4A	FLT4
PTEN	TPK1
C16orf87	VRK3
PID1	RIPK4
MAP7	FASTKD2
MAGEA8	UCKL1
BAG2	AAK1
MAGEB2	CDK13
KCNE3	SNRK
AP1B1	BMP2K
HDAC6	CDC42BPB
BCL11B	ZAK
BATF3	TLK2
RPL15	CDK12
GPR182	PI4KA
CCDC96	PRKAR1B
NOS1	CSNK2B
EPB41L4B	CAMK2B
CYB5B	ATR
GOLGA6L2	PRKAR2B
KCNE3	EPHB4
FPR1	ADCK1
CALML3	PKN3
NR3C1	CAMK2D
NR3C1	CAMK2B
EDAR	EPHA2
BAG1	ABL2
TLR2	BLK
H2AFJ	CDK12
CMKLR1	DOLK
SPANXN4	PBK
PADI6	CAMKK1
PCNP	PAPSS2
OR6T1	EIF2AK3
AQP9	FGFR1
LGI1	GAK
SLC31A1	DGKZ
EFNB1	DGKZ
TMEM257	FYN
MBD4	PRKCB
TMEM18	TPK1
CMKLR1	MTOR
SLC35G1	SCYL1
IGSF5	PASK
NAA30	MAP4K2
ST14	PRKCI
ST14	MET
HCRTR2	FASTKD1
CALML3	EPHA4
C7orf34	EPHB4
SCML1	PRKAR2B
TPX2	CDK12
FGFR1OP2	PRKAR2B
CKAP2	PAK6
DAPP1	GAK
P4HA1	KSR1
PKIG	PRKACG
GMCL1P1	OXSR1
SAA1	CSNK1G3
AVPR2	BLK
HSPA1A	GAK
LRRC48	PRKD2
FBXO2	MET
CD80	ATR
RAB4A	RPS6KA1
TACR3	MAP2K7
LZTS2	BMX
AVPR1B	MINK1
CYCS	CDK11B
FCGR3A	PRKD2
BTN3A1	TAOK1
HSPA1A	WNK3
OPTC	TYK2
PIP4K2C	STK11
GSX1	AK4
CTLA4	KIT
TNFRSF1B	CSNK1E
GNL2	ZAK
AKR7L	RIOK2
KIR2DL4	PRKDC
TMEM98	BMPR1A
RHNO1	TPK1
YWHAG	PLK4
DDIT3	TLK1
MOCS1	PI4KB
GAGE5	CSNK1G3
FGFBP1	CDK12
ZNF554	STK4
DGCR2	TYK2
MSTN	OXSR1
FAXC	AURKA
SUGP2	BLK
CUEDC1	MAPK3
CUEDC1	MAPK1
PTGES3	PIK3C2A
MAGEA9	CAMK2G
GARS	SCYL1
YWHAH	WNK2
PLCD3	CSNK2A1
PLCD3	CSNK2A2
TMEM30B	TGFBR1
RNPS1	BMP2K
FAM110D	MAPK8
CLEC4A	ROR1
MPL	TYK2
VASN	PRKDC
HNRNPCL2	VRK1
HNRNPCL2	OXSR1
SERTAD1	TPK1
NLRP10	STK26
KLRC1	CDK20
CEP170P1	PRKACG
C3orf18	SMG1
PNMA2	AURKA
IGHM	DSTYK
COPZ1	EPHA4
FBLIM1	PAPSS1
KLRK1	PRKDC
CALML3	CAMK1
NIPA2	AK4
CFB	EPHA4
RP9	JMJD6
DUSP16	PRKACB
LURAP1	CDC42BPA
TAS2R50	HK3
PTGES3	CDC42BPA
HDLBP	CHKB
NAA11	PRKACB
SOGA3	PRKCB
CLEC12B	EGFR
SAP18	PHKB
KCNE3	FGFR1
S100A2	RNASEL
MGARP	GK
SRSF5	CDK12
IL32	CSNK1G2
YWHAH	KSR1
AGO4	BCR
KCNE3	NEK2
SLC18A2	STK39
LDLRAD1	CHEK1
MPLKIP	PLK1
SPDYC	CDK2
SLC7A14	DOLK
TACR3	VRK2
ADAM11	JAK1
C12orf4	SRC
FBXL22	SRC
MALL	YES1
ZCCHC10	TAF1
KCNA2	DOLK
PISD	TPK1
DYNLL2	PRKACB
HYPM	DGKH
RNF145	PRKAR2B
CRCP	CSNK1G3
TTC9C	CDC42BPB
FAM43A	PRKAR1B
CCDC137	PRPF4B
ZCCHC10	CSNK2A1
SEMA4C	CHUK
RNF149	JAK1
DDX55	PXK
SV2A	STK39
USP54	VRK3
SRSF11	CLK2
SRSF11	CLK1
AP1B1	AAK1
FAM65A	STK25
ART1	ATR
UMODL1	MAP3K7
GCH1	EIF2AK2
EIF1AD	CSNK1G3
DNAJA2	MAP4K4
SERF2	ZAK
COMTD1	BUB1B
NHLRC3	EIF2AK3
REP15	TLK2
GPIHBP1	FGFR4
YWHAQ	MARK1
CARTPT	PHKB
C2CD4B	PHKB
FCER1A	PI4K2B
MCM5	CAMK2B
MCM5	CAMK2D
MARCH2	ACVR2A
EMX2	VRK3
SLC39A12	SRPK2
HOXC5	MAP2K1
C12orf4	TBCK
GRIN3B	DAPK3
RRP8	PRPF4B
PRR3	FASTKD2
SRSF4	CDK13
IGDCC4	RYK
ABCA2	FGFR3
PREX2	PRKAR1B
EFNA4	ADCK4
HMGA1	VRK3
NSUN5P1	MAP2K1
ANKRD50	VRK3
EFNB1	MINK1
YWHAH	SPEG
RPL36	PRPF4B
SCGB2A2	PTK7
SLURP1	SIK3
HADHA	CASK
MPDZ	MAPK9
DPYSL4	MAP4K2
CCNO	CDK2
CCL4L1	MAP2K1
HSPA14	MAP3K7
MAGEB2	SRPK2
DUOXA2	PRKAR1B
CLMN	TAOK2
ZCCHC17	CSNK2B
CALM1	PHKA2
CALM1	PHKA1
CENPH	EPHA4
SAP18	CLK2
SAP18	CLK3
CCDC96	GSG2
HMGA2	VRK3
CACUL1	CSNK1G3
HPN	ADPGK
HIRA	TLK1
FAM150B	LTK
S100P	WNK1
XAF1	AKT2
BAG2	OXSR1
DOK2	PDK4
DYNLL1	CDC42BPG
TDRKH	GSG2
C3orf52	BMPR1A
PNMA2	MARK1
GTF2IRD2B	ACVR1C
KCNE3	KIAA1804
GPM6A	DCLK1
CHRNA7	PKMYT1
GZMH	STK26
PCDHB6	MELK
HOXA7	NAGK
UGT1A7	FGFR1
BEX4	CDKN2C
MEI1	TK1
HOMER1	PRPSAP1
MAGEA9	EIF2AK4
TOM1	CHEK1
YWHAZ	PIK3C2B
BPNT1	BCKDK
RUFY3	MELK
CINP	BLK
RPS10	BAZ1B
MALL	GK
SNRNP27	PRPSAP2
PTH2R	JAK1
RNF4	BLK
C19orf25	MAPK9
FBLN5	PEAK1
SELENBP1	CAMKK1
SRSF2	MAPK9
RNF166	BMP2K
EPB41L4B	CAMK2D
SPANXN4	PRKCI
GYPA	PIK3C3
YWHAB	BCR
ZNF174	PI4K2B
NKAIN1	TRPM7
FPR1	MTOR
HTRA3	ROCK1
YWHAQ	KSR1
CT45A5	CSNK2A1
HCST	ATR
GOLGA6L2	PRKAR1B
SYT2	JMJD6
C3orf52	ERN1
KCNE1	PIK3CB
DNAJC12	CDK8
CCDC71	ITPKC
CRLF2	PRKDC
YWHAQ	NEK1
HCST	STK17B
IFNGR2	POMK
GCGR	ADCK1
CCL3	TNIK
FTL	MOK
CX3CL1	PKN3
NAA10	BCR
C7orf60	PRKAA1
OPALIN	MTOR
PNMA2	PKN3
SLC31A1	KIAA1804
SRSF4	CLK4
CD226	DSTYK
LYPD4	PIK3C2A
DEFA5	GSK3A
CCDC167	MTOR
YWHAH	BCR
NEIL1	CSNK2A2
FLRT1	PLK1
CHCHD2	CDK13
CLSTN2	TYK2
RDX	FLT4
YWHAZ	PI4KB
TUB	GSG2
ZNF664	GSK3A
UQCRFS1	BCKDK
SNAPC4	PIK3C2A
CD3D	TRPM7
FAM9C	MAPK9
CERS2	CSNK1G3
CERS2	CSNK1G2
MAGEB2	MAP3K1
CCDC71	GTF2F1
P4HA3	CSNK2A1
HNRNPCL2	CHUK
ANKRD39	SLK
C9orf170	MAPK9
MAGEA9	TAF1
COQ3	PRKAR2B
PCDHB6	MAP3K7
BEX1	CDC42BPB
MRFAP1L1	CHUK
RPL17	SRPK1
SLC9A3R2	RPS6KA3
PTH2R	FASTKD1
POLR2J3	BUB1
CCL22	MET
BTBD9	SHPK
RAP2A	MINK1
GJA8	FGFR1
P2RY10	CAMK1
OR2K2	AK1
DESI2	BMPR1A
OSTM1	ATR
YWHAG	KSR1
ATXN7L1	MAPK9
CRLF2	JAK1
PELI3	PRKACG
GYPA	CAMK4
CCT8L2	CAMK4
CCT8L2	CAMK2B
CXorf66	MAPK9
GOLGA6L2	CAMK2G
GOLGA6L2	CAMK2B
FAM221B	ULK1
CSTL1	STK39
C2CD4B	PASK
ST8SIA3	PRKACG
FTL	NEK1
BAG2	GAK
RDH8	CAMK2B
PTH2R	VRK2
SLITRK3	ACVR2A
CXCR4	DSTYK
SLC9A3R2	PAK2
CEP19	CDKN2D
BSCL2	NEK6
PTGES3	DGKZ
SLC31A1	PEAK1
EZH1	CDK12
BAG2	WNK1
SNRPD3	RIOK1
HEPN1	PGK2
FRAT2	GSK3A
S100A6	DTYMK
OCIAD1	PIK3C3
S100B	MAP3K4
GPR17	PIK3R4
AKR7L	SCYL1
LRRC61	TYK2
CD40	ATR
RNF149	EPHB4
GPM6A	PRKAR2B
HLA-DRA	NEK4
SLC25A3	AK2
PSCA	TRPM7
ZMYM6	AK4
OPRL1	TTK
S100P	MAP3K6
YWHAH	CHEK1
DR1	GK
LIN28A	CDK12
HEATR3	DGKE
CD3D	POMK
TMEM9	UCKL1
CCDC96	RIPK1
SRSF4	PRPF4B
PTGES3	MELK
RPS16	EIF2AK2
DUSP16	PIK3C2A
HLA-DQA1	EIF2AK3
PNMA2	MELK
CEP170P1	DSTYK
CD40	MTOR
CCDC71	PRKAR2B
IL17F	PRKCI
TUBB4B	DSTYK
AVPR2	FASTKD1
NCAPG2	VRK1
CLEC4A	FGFR2
CLEC4A	FGFR1
CLEC4A	FGFR4
IFI6	VRK3
NCALD	KIAA1804
CCNA2	PRKCQ
GEMIN4	PHKA1
HCST	PKN3
GCGR	POMK
ATF6	TRIB1
HPN	EPHB4
TNNT1	TLK2
CCT8L2	KIAA1804
STX17	ITPKC
CTLA4	EPHA4
RPL3	SRPK2
HNRNPCL2	CDK11B
PTP4A1	TRPM7
MRPL30	CDKN2D
MYL4	CAMKK2
COL8A1	BMP2K
NOTCH2NL	TPK1
FPR1	PRKDC
LINGO1	NTRK3
IGHD	PRKDC
NUP62	PKN3
CEACAM16	OXSR1
C19orf38	PRKDC
SLC18A2	TBRG4
PQLC2L	PRKCI
KIF24	PLK1
MAP10	CAMK2D
EIF1AD	CSNK1E
PABPC5	CLK2
PABPC5	CLK3
PUS7L	PRPS2
FAM163B	CAMK2D
FAM163B	CAMK2B
HNRNPCL2	LATS1
FTL	PINK1
RDH14	PRKCB
CD6	IP6K1
SNX6	ATM
SKOR1	DYRK1B
GPR182	MTOR
ACTA2	MAP3K4
SLC22A8	EPHA5
CXCR4	ADCK1
DEFB136	STK39
PKD2L2	TRPM7
CCT8L2	UCKL1
TRAV20	POMK
BTNL9	TBRG4
SEMA4C	HK2
MAGEA9	TAOK1
SLC9A8	EPHB4
MACC1	MARK3
PARP3	PAK1
C19orf66	PRKCQ
ZMYM2	PCK1
EFNA4	UCKL1
SLC31A1	CDC42BPB
HCST	TBRG4
CCDC120	NAGK
AVPR2	POMK
LRRC61	PI4K2B
MMP13	PEAK1
KCNE3	MAP3K7
HHIPL1	CDC7
MID1IP1	PRKAG1
MANSC1	ACVR1B
HIF1AN	HUNK
TSPAN16	EIF2AK3
TSPAN10	OXSR1
SLC18A2	JAK1
LRRTM4	BLK
TTPAL	MAPKAPK2
PKP2	PDGFRB
TMEM74	NEK1
SPSB4	PEAK1
C5AR1	ATM
BMP1	PRKAR1B
IGHM	STK4
GPR182	PIK3C2A
CCDC96	PRKACB
SPSB4	PIK3C3
C6orf62	MAP2K7
SCD	PANK2
DEC1	PRKCB
ZXDB	TRRAP
YWHAQ	TAOK1
VWC2L	CHEK1
YWHAH	WEE1
PIPSL	EIF2AK4
FAM168A	LATS1
TNFRSF10D	ACVR2A
SULF2	CSNK2A1
FBLN5	DYRK1A
CRCP	SRC
FPR1	IP6K1
ESRP1	PAK6
MAGEA9	TAOK2
L3HYPDH	CDK2
SPCS1	ZAK
LINC01587	UCKL1
TMEM59	FGFR4
FGFBP1	CDK13
CBWD2	PEAK1
KLC3	CDK6
RPL13A	PRPF4B
SPATA22	BLK
UXS1	MAPK1
LAMP2	STK26
PTH2R	TTK
FBXO2	IGF1R
YWHAB	ITPKB
ANAPC15	CDK11B
CD80	MTOR
S100A2	SIK2
PURG	CDK13
SSR2	NEK4
CD6	TYK2
FIS1	TBRG4
GNG8	HK3
MLNR	GK
PLA2G5	INSR
NPY2R	PDK1
TBCCD1	PRKACG
KRT2	MAP3K6
HCST	DSTYK
BTBD2	SRC
MAGEA9	PIK3C2A
KCNE3	JAK1
ABTB2	PGK2
P2RY10	PIK3CB
P2RY10	PI4KA
CADM4	BMPR1A
ADAMTS13	ALDH18A1
IFNAR1	KIT
FGFRL1	CLK2
GYPA	STK39
S100B	JAK1
TMEM74	MAP3K7
GIP	CDKN2C
WHAMMP3	PKN1
KCNE3	GRK6
PCDHA8	EPHB4
KAL1	EIF2AK2
MAGEA9	PTK2
PSME1	CSNK1E
RAET1L	NEK7
GIMAP8	PAK6
DDX55	PHKG2
ATP6V0A1	EPHA2
MRAP2	JAK1
KIAA1683	STK4
RABIF	AK4
CXCR4	FASTKD3
IL17RA	VRK2
TGFA	PKMYT1
WIF1	IP6K1
YWHAG	BCR
CSTL1	EPHA7
BFSP1	CIT
YWHAQ	CLK3
CENPQ	TBK1
TMEM74	MARK3
RNF149	FGFR2
DNAJB3	SCYL1
TM4SF20	AK1
MARCH1	CSNK1G3
NIPAL1	GAK
SLC31A1	PDPK1
TGM7	WNK3
MBTD1	BLK
TNRC6A	AK4
CD63	DOLK
CTLA4	FGFR3
GIP	STK26
DUSP16	PRKAR1B
DUSP16	PRKAR2B
GRPR	PDK1
CAPN10	STK3
FAM65A	STK26
ADAM11	PRKDC
PLEKHG2	CDK2
SCRIB	NEK1
C15orf59	MAP4K4
FHL2	WNK3
FILIP1	TBK1
LURAP1	PKN3
SPX	CDKN2C
PNMA2	CDK17
MADD	TYK2
MALL	FYN
CA4	CDK6
HSPA1A	SLK
BHLHE23	CSNK2A2
DBNDD1	CSNK1E
NOL4	CSNK1A1
MYL12B	MYO3A
KRT2	RIPK1
EIF1AD	GRK6
LRRC74A	EPHA4
SLC31A1	PI4K2B
SDR16C5	HK3
UGGT2	MAP2K7
GNG8	UCKL1
C11orf87	GSK3A
C1QA	MAP2K6
ATG14	MINK1
CCL3	FLT1
CD6	GRK6
PLEKHG2	CDK1
PRSS42	RNASEL
SLC2A12	FASTKD1
TMEM106A	ROR2
CCL18	POMK
TACR1	ADCK1
HDGFRP2	CSNK2B
SIKE1	CDC42BPB
EN1	PBK
MAGEA8	EPHA4
SHISA6	NAGK
GLI4	FASTKD2
YWHAH	MAP3K5
AMIGO1	ATM
JTB	BRAF
UQCR11	CDK12
NHLRC3	EPHA4
PCDH10	PKN3
DYNLL2	PRKAR2B
CXCR4	MTOR
ZNF653	SRPK1
ATG4B	GTF2F1
S100A2	PKN1
YWHAG	CDK14
ATG9B	PHKG2
USP47	PRPSAP2
HTR2C	CAMK1
BTN3A1	PIK3CA
BTN3A1	PIK3CB
ANAPC15	CDK12
CRYAA	TRRAP
GNGT1	BLK
C2orf50	PI4KA
PLA2G2D	PRKAB1
GPR182	MAP2K7
KIR2DL4	DOLK
ZNF641	ROCK2
APOOL	BAZ1B
DNA2	PASK
PAEP	STK4
LRRC25	MTOR
TMEM257	CSNK1G3
CERS2	LYN
GPR17	PRKDC
CX3CL1	JAK1
MAD2L1	MAP4K5
HMGA2	CSNK2A2
SRSF6	CDK13
KCNE3	BMPR2
KCNE3	BMPR1A
C15orf59	PKN2
C15orf59	PKN1
OR2M7	EIF2AK3
PLEKHA2	BRD4
GAGE5	ZAK
FILIP1	PRKAR1B
GNLY	PRKCI
S100A2	PKN3
C1orf95	GK
YWHAB	PIK3C2B
BLOC1S5-TXNDC5	VRK3
FTL	CSNK1A1
AKR7L	SRPK1
ZBTB42	MAPK3
KCNMB3	ADCK2
SEMA4C	TBRG4
EN1	CSNK2A1
TGM1	SCYL2
SLC22A2	PDK1
TUBB4B	MELK
ANKRD33	SRC
TGFA	PI4K2A
GYPA	MTOR
KCNE3	MARK2
KCNA2	VRK2
HSPA2	SLK
TNNC1	MYO3A
IL7R	EPHA7
ZNF346	CDK12
IFNAR1	FGFR2
OR2M7	PKMYT1
ZCCHC10	PRPF4B
FAXC	STK17B
OR2A4	PTK6
SLC18A2	NEK6
HCST	FASTKD1
EFCAB1	SCYL1
RPL35A	GTF2F1
LINC01588	PASK
MARCH4	VRK2
DHFRL1	IGF1R
PARP12	BLK
TNNC1	MYO3B
HFE	EIF2AK3
EDN3	DSTYK
FILIP1	STK26
FAM24B	PAPSS1
HSF2BP	MAP3K5
C19orf38	CAMK1
LGALS1	PTK7
TPX2	CSNK1G3
CERS2	FYN
RPL35A	PAPSS1
KRR1	BAZ1B
TFPT	CSNK2A1
SLC9A8	MAP4K4
PNMAL1	STK19
HYPM	DAK
MARCH1	JAK1
SPSB4	EPHB1
ZNF346	PRPF4B
BTNL9	CSNK1G1
PLEKHN1	TAOK1
YWHAH	ZAK
EDAR	EPHB4
AVPR1B	FGFR1
TACSTD2	MTOR
ZNF467	PRPF4B
HSPA1A	MAP3K7
RPL17	SRPK2
TMEM169	AURKA
EIF1AD	CHEK1
TFPI2	DSTYK
KCNE3	MARK4
NDUFV2	STK4
CCT8L2	MASTL
NCSTN	CSNK1G3
CCNB2	CDK17
EDAR	FGFR2
EDAR	FGFR4
LDLRAD1	ATR
RPRM	BMPR1A
CYTH4	TP53RK
RBMX2	SRPK1
RBMX2	SRPK2
ABT1	MAP4K4
YWHAG	SGK223
SNTB2	CHEK1
ERCC5	CSNK2A1
ERCC5	CSNK2A2
SRY	RET
CST8	KHK
NXPH1	RNASEL
ARHGAP12	CSNK1E
UTP23	BAZ1B
YWHAG	MAST2
AVPR1B	EPHB4
TADA2A	CSNK1G3
PFDN5	BCKDK
FAM24B	PAK2
SFTPA2	PRPSAP2
LMO1	TRIO
CYB5B	ATM
ENTHD2	PLK1
CTXN1	BMPR1A
IDE	CHKA
GPIHBP1	INSR
FTL	PI4K2B
YWHAG	ZAK
CITED1	CDK2
KIAA0895	PRKAR2B
NPTX2	MAPK3
TIMP3	PRKACB
LARP4B	CLK3
LARP4B	CLK2
CADPS	PAN3
DUSP16	RIPK1
SLC31A1	MTOR
DBNDD1	CSNK1A1
TTYH1	ADCK2
RPL28	CDK12
P2RY10	JAK1
EFNA4	STK39
SLC31A1	BMPR1A
GTF3C4	PASK
STRAP	RIPK2
DNAJA2	PRKD2
ZNF641	CSNK1G3
DNAJC19	STK36
PATE1	EGFR
MARCH1	FGFR2
EIF1AD	IP6K1
NRSN1	ACVR2A
NRSN1	ACVR1
ANO4	TP53RK
HVCN1	TBK1
HFE	EGFR
CHCHD4	RPS6KA5
KCTD12	LATS1
IFNAR1	ACVR2A
CENPM	YES1
RAMP2	PDK1
PMCH	CDKN2D
ZNF777	PRKD1
ITFG3	MTOR
DAB2	BMP2K
RNASEH1	CDK13
PCDHGA7	EPHB4
HCST	ADCK4
TEX19	MARK3
CCT8L2	KSR1
CCT8L2	DGKH
PIPSL	NEK1
FBXO2	EGFR
C2CD4B	ALDH18A1
CMKLR1	ADCK4
