protein1	protein2
ALDH18A1	NXF1
ALDH18A1	PARP12
ALDH18A1	PPP1R10
ALDH18A1	PPP1R15A
ALDH18A1	PTPRR
ALDH18A1	RBAK
ALDH18A1	RREB1
ALDH18A1	RSBN1
ALDH18A1	SPTBN1
ALDH18A1	TGFB1
ALDH18A1	TLR6
ALDH18A1	TNFRSF10A
ALDH18A1	TRIM14
ALDH18A1	TUBGCP5
ALDH18A1	VCAM1
ALDH18A1	WDR33
ALDH18A1	ZMYND11
ALDH18A1	ZNF174
ALDH18A1	ZNF317
ALDH18A1	ZNF592
ALDH18A1	ZNF687
ALDH18A1	ZNF768
ALDH18A1	ZRANB1
ALDH18A1	ZSCAN12
ALK	AKT3
ALK	ARHGAP9
ALK	CASKIN1
ALK	CDC14B
ALK	DGKZ
ALK	EPHB3
ALK	ERBB2
ALK	FN3K
ALK	HIST1H1B
ALK	HIST1H1E
ALK	INSL6
ALK	ITPR3
ALK	LMNB1
ALK	LTK
ALK	MAP2K4
ALK	MAP3K3
ALK	MAPK3
ALK	MARK1
ALK	NCAPG
ALK	NUPR1
ALK	PDLIM5
ALK	PKM
ALK	PPID
ALK	PPP2R5E
ALK	PTK2
ALK	SFPQ
ALK	SH3GL3
ALK	SRCIN1
ALK	TRIB3
ALK	VASP
ALPK1	CASP3
ALPK1	CASP8
ALPK1	HSP90AA1
ALPK1	INS
ALPK1	PRKG2
ALPK1	TGFB1
ALPK1	XPO1
ALPK2	HIST1H1E
ALPK2	NEK4
ALPK3	H1F0
ALPK3	HMGN2
ALPK3	HNRNPA1
ALPK3	MYC
ALPK3	RPS11
AMHR2	AKT2
AMHR2	AKT3
AMHR2	MAP3K7CL
AMHR2	MAP3K7
ANKK1	C2CD6
ARAF	AGGF1
ARAF	AGK
ARAF	AKAP9
ARAF	AKT2
ARAF	AKT3
ARAF	AP3B1
ARAF	APBB1IP
ARAF	ARRB1
ARAF	ARRB2
ARAF	ATG16L1
ARAF	ATG7
ARAF	ATP5F1B
ARAF	ATP5MD
ARAF	BCL2L11
ARAF	BRAF
ARAF	CBY1
ARAF	CCDC22
ARAF	CDK9
ARAF	CLCN6
ARAF	CNKSR1
ARAF	CNKSR2
ARAF	CSK
ARAF	CSNK2B
ARAF	CTDP1
ARAF	EGLN3
ARAF	EGR1
ARAF	ESR1
ARAF	ESRP1
ARAF	FAM114A2
ARAF	FAM131B
ARAF	FBXO6
ARAF	FGA
ARAF	FGB
ARAF	FGG
ARAF	FN1
ARAF	FXR1
ARAF	HERC2
ARAF	HIPK4
ARAF	HOXB8
ARAF	IQGAP1
ARAF	IRAK2
ARAF	IRF7
ARAF	ITGA2B
ARAF	ITGB3
ARAF	JAK3
ARAF	KDM7A
ARAF	KIAA1549
ARAF	KIF1BP
ARAF	KSR1
ARAF	KSR2
ARAF	LMNA
ARAF	MAP2K1
ARAF	MAP2K2
ARAF	MAP2K4
ARAF	MAPK1
ARAF	MAPK3
ARAF	MARK3
ARAF	MLF1
ARAF	MLH1
ARAF	MPRIP
ARAF	NUDCD1
ARAF	NUDT14
ARAF	P4HA2
ARAF	PAPSS1
ARAF	PDGFRB
ARAF	PDYN
ARAF	PIK3CA
ARAF	PKM
ARAF	PTGES3L-AARSD1
ARAF	QKI
ARAF	RAB3IP
ARAF	RAP1A
ARAF	RAP1B
ARAF	RGS12
ARAF	RIPK4
ARAF	RNF2
ARAF	RPL39P5
ARAF	SLC9A3R2
ARAF	SND1
ARAF	SOCS3
ARAF	SOCS6
ARAF	SRC
ARAF	STAT1
ARAF	STAT2
ARAF	STAT3
ARAF	STAT4
ARAF	STAT5A
ARAF	STAT5B
ARAF	STAT6
ARAF	TENT4A
ARAF	TIRAP
ARAF	TLN1
ARAF	TRAK1
ARAF	TRIM24
ARAF	TUBA1A
ARAF	UBXN6
ARAF	VCL
ARAF	VWF
ARAF	ZC3HAV1
ATM	AGER
ATM	BCAS4
ATM	C5AR2
ATM	CABLES1
ATM	CAMTA1
ATM	CDCP1
ATM	CEP44
ATM	CFB
ATM	CFD
ATM	CFH
ATM	CLCA2
ATM	CRB1
ATM	CROCC
ATM	CROT
ATM	CST3
ATM	CTSL
ATM	DCD
ATM	DERL1
ATM	DGKG
ATM	F2
ATM	F7
ATM	FAM71E2
ATM	FGA
ATM	GABBR1
ATM	GCN1
ATM	GJC2
ATM	GPS1
ATM	GRAP2
ATM	GSN
ATM	HIST1H4A
ATM	HIST1H4B
ATM	HIST1H4C
ATM	HIST1H4D
ATM	HIST1H4E
ATM	HIST1H4F
ATM	HIST1H4H
ATM	HIST1H4I
ATM	HIST1H4J
ATM	HIST1H4K
ATM	HIST1H4L
ATM	HIST2H4A
ATM	HIST2H4B
ATM	HIST4H4
ATM	HPX
ATM	HP
ATM	ID3
ATM	IGDCC4
ATM	IGHG1
ATM	IGKC
ATM	ITCH
ATM	ITGA2
ATM	ITGB5
ATM	ITIH1
ATM	JARID2
ATM	KCNMA1
ATM	KRT10
ATM	KRT13
ATM	KRT16
ATM	KRT1
ATM	KRT6A
ATM	KRT6B
ATM	KRT9
ATM	LAMTOR5
ATM	LAT
ATM	LDB3
ATM	LPAR4
ATM	LPAR6
ATM	MAD1L1
ATM	MAS1
ATM	MAX
ATM	MEN1
ATM	MIA2
ATM	MT-ND4
ATM	MYC
ATM	MYL4
ATM	NLRC4
ATM	NOTCH1
ATM	NPHS1
ATM	NPY2R
ATM	OBSL1
ATM	ODR4
ATM	OPRM1
ATM	OR2T6
ATM	OR3A2
ATM	OR8D2
ATM	PCDH1
ATM	PCED1B
ATM	PDE4B
ATM	PDZRN4
ATM	PEG3
ATM	PF4V1
ATM	PLA2G4F
ATM	PLAG1
ATM	PNKP
