key	value
PKCT	['PKA_group', 'RSK_group', 'PKB_group', 'ROCK_group']
ARAF	['PKA_group', 'RSK_group', 'MAP3K_group', 'MAP2K_group', 'PKB_group']
Pim3	['PKA_group', 'RSK_group']
BRAF	['PKA_group', 'RSK_group', 'MAP3K_group', 'MAP2K_group', 'PKB_group']
PDK1	['MAP3K_group', 'PDK-2', 'RSK_group']
MEK1	['PAK_group']
CK1D	['PKB_group']
SGK2	['PKB_group']
PKM	['PKB_group']
SLK	['ROCK_group', 'PKA_group']
LRRK2	['ROCK_group', 'PKA_group']
LOK	['ROCK_group', 'PKA_group']
HGK	['ROCK_group', 'PKA_group']
ROCK1	['PKA_group', 'CaM-KII_group', 'PKC_group', 'MAPK_group']
PAK2	['PKA_group', 'MAPK_group']
ADCK5	['PKA_group']
PRKD2	['PKA_group', 'PKG/cGK_group']
PKG1 iso2	['PKA_group']
EGFR	['PKA_group']
CDK4	['RSK_group', 'MAPK_group']
ATR	['PKA_group', 'IKK_group']
CDK1	['MAPK_group', 'PKC_group', 'PAK_group']
JAK2	['MAP2K_group']
Ret	['MAP2K_group']
Src	['FGFR_group']
Fyn	['FGFR_group']
TGM2	['MAPK_group']
ZAK	['MAPK_group']
DYRK3	['PKB_group']
PGK1	['PKB_group']
PIK3C2A	['PDK-2']
MLK2	['MAPK_group']
CLK1	['PKB_group']
CLK2	['PKB_group']
MEKK6	['MAP2K_group']
ASK1	['MAP2K_group']
PKN2	['PKB_group']
NEK6	['PDK-2', 'PKC_group']
JNK1	['GSK-3_group', 'CK1_group', 'CK2_group', 'PKB_group', 'IKK_group']
JNK3	['GSK-3_group', 'CK1_group', 'CK2_group']
DYRK1A	['GSK-3_group', 'MAPK_group']
MEKK3	['GSK-3_group', 'MAPK_group']
Lck	['JAK_group']
ChaK1	['AMPK_group']
PLK3	['CK2_group']
GRK4	['PKC_group']
PASK	['PKC_group']
JNK2	['CK1_group', 'CK2_group', 'PKB_group']
